primary_category,macro_field,submission_month,raw_n,selected_n
astro-ph.CO,astro-ph,2018-01,8,8
astro-ph.CO,astro-ph,2018-02,4,4
astro-ph.CO,astro-ph,2018-03,3,3
astro-ph.CO,astro-ph,2018-04,4,4
astro-ph.CO,astro-ph,2018-05,7,7
astro-ph.CO,astro-ph,2018-06,2,2
astro-ph.CO,astro-ph,2018-07,5,5
astro-ph.CO,astro-ph,2018-08,5,5
astro-ph.CO,astro-ph,2018-09,6,6
astro-ph.CO,astro-ph,2018-10,6,6
astro-ph.CO,astro-ph,2018-11,3,3
astro-ph.CO,astro-ph,2018-12,5,5
astro-ph.CO,astro-ph,2019-02,8,8
astro-ph.CO,astro-ph,2019-03,4,4
astro-ph.CO,astro-ph,2019-04,2,2
astro-ph.CO,astro-ph,2019-05,5,5
astro-ph.CO,astro-ph,2019-06,3,3
astro-ph.CO,astro-ph,2019-07,6,6
astro-ph.CO,astro-ph,2019-08,3,3
astro-ph.CO,astro-ph,2019-09,2,2
astro-ph.CO,astro-ph,2019-10,11,11
astro-ph.CO,astro-ph,2019-11,9,9
astro-ph.CO,astro-ph,2019-12,1,1
astro-ph.CO,astro-ph,2020-01,1,1
astro-ph.CO,astro-ph,2020-02,3,3
astro-ph.CO,astro-ph,2020-03,7,7
astro-ph.CO,astro-ph,2020-04,5,5
astro-ph.CO,astro-ph,2020-05,8,8
astro-ph.CO,astro-ph,2020-06,2,2
astro-ph.CO,astro-ph,2020-07,6,6
astro-ph.CO,astro-ph,2020-08,4,4
astro-ph.CO,astro-ph,2020-09,6,6
astro-ph.CO,astro-ph,2020-10,7,7
astro-ph.CO,astro-ph,2020-11,5,5
astro-ph.CO,astro-ph,2020-12,6,6
astro-ph.CO,astro-ph,2021-01,5,5
astro-ph.CO,astro-ph,2021-02,5,5
astro-ph.CO,astro-ph,2021-03,2,2
astro-ph.CO,astro-ph,2021-04,1,1
astro-ph.CO,astro-ph,2021-05,1,1
astro-ph.CO,astro-ph,2021-06,7,7
astro-ph.CO,astro-ph,2021-07,6,6
astro-ph.CO,astro-ph,2021-08,2,2
astro-ph.CO,astro-ph,2021-09,11,11
astro-ph.CO,astro-ph,2021-10,10,10
astro-ph.CO,astro-ph,2021-11,6,6
astro-ph.CO,astro-ph,2021-12,4,4
astro-ph.CO,astro-ph,2022-01,5,5
astro-ph.CO,astro-ph,2022-02,5,5
astro-ph.CO,astro-ph,2022-03,10,10
astro-ph.CO,astro-ph,2022-04,8,8
astro-ph.CO,astro-ph,2022-05,5,5
astro-ph.CO,astro-ph,2022-06,4,4
astro-ph.CO,astro-ph,2022-07,11,11
astro-ph.CO,astro-ph,2022-08,3,3
astro-ph.CO,astro-ph,2022-09,5,5
astro-ph.CO,astro-ph,2022-10,7,7
astro-ph.CO,astro-ph,2022-11,9,9
astro-ph.CO,astro-ph,2022-12,2,2
astro-ph.CO,astro-ph,2023-01,2,2
astro-ph.CO,astro-ph,2023-02,5,5
astro-ph.CO,astro-ph,2023-03,7,7
astro-ph.CO,astro-ph,2023-04,6,6
astro-ph.CO,astro-ph,2023-05,7,7
astro-ph.CO,astro-ph,2023-06,6,6
astro-ph.CO,astro-ph,2023-07,8,8
